SEASON_ID,Player_ID,Game_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE
22012,2544,0021200233,37,8,15,2,6,0.667,1,8,9,6,1,0,2,3,21,14,0.533,1,0.5,4,0.178
22012,2544,0021200220,39,9,16,5,6,0.5,3,6,9,7,4,0,4,2,23,-1,0.563,2,0.4,3,0.175
22012,2544,0021200186,40,10,16,5,9,0.889,1,5,6,5,0,1,7,3,30,7,0.625,2,0.4,8,0.177
22012,2544,0021200163,43,11,21,4,8,0.5,2,8,10,8,1,1,1,3,28,5,0.524,2,0.5,4,0.199
22012,2544,0021200138,41,8,20,3,7,0.571,0,7,7,3,2,0,1,1,21,20,0.4,1,0.333,4,0.131
22012,2544,0021200121,42,11,23,1,6,0.833,1,6,7,12,1,3,4,0,27,9,0.478,0,0.0,5,0.217
22012,2544,0021200117,41,12,23,3,9,0.667,0,5,5,7,1,2,4,3,30,-15,0.522,0,0.0,6,0.153
22012,2544,0021200099,40,14,26,8,8,0.625,1,9,10,6,0,0,0,1,38,8,0.538,5,0.625,5,0.23
22012,2544,0021200092,36,10,19,1,4,0.0,3,7,10,6,2,1,2,2,20,-18,0.526,0,0.0,0,0.172
22012,2544,0021200072,36,10,17,2,3,0.333,2,9,11,9,1,0,2,2,21,0,0.588,0,0.0,1,0.218
22012,2544,0021200056,30,7,12,3,4,1.0,4,8,12,8,1,0,2,1,20,18,0.583,2,0.667,4,0.32
22012,2544,0021200044,30,10,17,3,3,0.333,3,8,11,1,0,0,3,2,23,25,0.588,2,0.667,1,0.137
22012,2544,0021200030,39,8,17,1,4,1.0,1,8,9,11,0,2,0,2,20,7,0.471,0,0.0,4,0.155
22012,2544,0021200020,37,8,16,3,6,0.833,0,7,7,5,0,3,5,2,23,-21,0.5,2,0.667,5,0.163
22012,2544,0021200002,29,10,16,4,5,0.8,1,9,10,3,2,0,0,2,26,12,0.625,2,0.5,4,0.238
22013,2544,0021301192,37,10,22,7,8,0.5,3,5,8,5,0,1,3,2,27,-13,0.455,3,0.429,4,0.158
22013,2544,0021301180,35,11,20,4,13,0.923,1,5,6,1,1,1,2,1,36,13,0.55,2,0.5,12,0.271
